target,horizon_days,benchmark,model_id,RMSE,KGE,n_valid,units,support_policy
ET,7,selected_model,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,0.942257086166107,0.6750702806527594,4791720,mm/day,"exact common finite support across selected model, persistence, and training climatology"
ET,7,persistence,persistence,1.115643562693464,0.6813707826428053,4791720,mm/day,"exact common finite support across selected model, persistence, and training climatology"
ET,7,training_climatology,training_climatology,1.0966848691213633,0.5734049739151783,4791720,mm/day,"exact common finite support across selected model, persistence, and training climatology"
ET,30,selected_model,029_base_7var_monthly_Seq2seqconvlstm_30d_compact_1layer,1.0105929702323782,0.605703374784754,4791720,mm/day,"exact common finite support across selected model, persistence, and training climatology"
ET,30,persistence,persistence,1.3342516564696931,0.5435517562654677,4791720,mm/day,"exact common finite support across selected model, persistence, and training climatology"
ET,30,training_climatology,training_climatology,1.0966848691213633,0.5734049739151783,4791720,mm/day,"exact common finite support across selected model, persistence, and training climatology"
ET,90,selected_model,034_base_7var_seasonal_ARconvlstm_90d_compact_1layer,1.0769409686120657,0.551062754848797,4791720,mm/day,"exact common finite support across selected model, persistence, and training climatology"
ET,90,persistence,persistence,1.8128115767864765,0.15362247541941643,4791720,mm/day,"exact common finite support across selected model, persistence, and training climatology"
ET,90,training_climatology,training_climatology,1.0966848691213633,0.5734049739151783,4791720,mm/day,"exact common finite support across selected model, persistence, and training climatology"
SM,7,selected_model,007_base_7var_weekly_DEconvlstm_7d_low_lr_wd_hidden48,0.04246677721071587,0.8157434259684406,4799385,mm3/mm3,"exact common finite support across selected model, persistence, and training climatology"
SM,7,persistence,persistence,0.0337070375564127,0.9018823639324777,4799385,mm3/mm3,"exact common finite support across selected model, persistence, and training climatology"
SM,7,training_climatology,training_climatology,0.0496457751287983,0.7170112773801598,4799385,mm3/mm3,"exact common finite support across selected model, persistence, and training climatology"
SM,30,selected_model,024_base_7var_monthly_DEconvlstm_30d_compact_1layer,0.04796996828666373,0.7429764992380417,4799385,mm3/mm3,"exact common finite support across selected model, persistence, and training climatology"
SM,30,persistence,persistence,0.04759276457435004,0.8051517312436813,4799385,mm3/mm3,"exact common finite support across selected model, persistence, and training climatology"
SM,30,training_climatology,training_climatology,0.0496457751287983,0.7170112773801598,4799385,mm3/mm3,"exact common finite support across selected model, persistence, and training climatology"
SM,90,selected_model,037_base_7var_seasonal_DEconvlstm_90d_low_lr_wd_hidden48,0.05196681076104218,0.6981237320005877,4799385,mm3/mm3,"exact common finite support across selected model, persistence, and training climatology"
SM,90,persistence,persistence,0.06316656286225154,0.662645601820778,4799385,mm3/mm3,"exact common finite support across selected model, persistence, and training climatology"
SM,90,training_climatology,training_climatology,0.0496457751287983,0.7170112773801598,4799385,mm3/mm3,"exact common finite support across selected model, persistence, and training climatology"
