horizon_days,repetition,et_seconds,sm_seconds,pair_seconds,resource,gpu_count,supporting_cpu_cores,batch_size,slurm_job_id,target_date
7,1,0.19306944776326418,0.18849757593125105,0.38157125283032656,NVIDIA A40,1,8,1,6499038,2020-07-01
7,2,0.20005917269736528,0.19389583729207516,0.3939596489071846,NVIDIA A40,1,8,1,6499038,2020-07-01
7,3,0.20067436527460814,0.19358186423778534,0.3942624507471919,NVIDIA A40,1,8,1,6499038,2020-07-01
7,4,0.20023644249886274,0.19375465530902147,0.3939971914514899,NVIDIA A40,1,8,1,6499038,2020-07-01
7,5,0.20020839851349592,0.19372450839728117,0.3939388692378998,NVIDIA A40,1,8,1,6499038,2020-07-01
7,6,0.20014411490410566,0.19362615048885345,0.3937755851075053,NVIDIA A40,1,8,1,6499038,2020-07-01
7,7,0.2003984348848462,0.1934370556846261,0.39384109154343605,NVIDIA A40,1,8,1,6499038,2020-07-01
7,8,0.20019116532057524,0.19361962750554085,0.3938159020617604,NVIDIA A40,1,8,1,6499038,2020-07-01
7,9,0.19214719533920288,0.18782153632491827,0.3799744425341487,NVIDIA A40,1,8,1,6499038,2020-07-01
7,10,0.1979193976148963,0.19332447927445173,0.39124905597418547,NVIDIA A40,1,8,1,6499038,2020-07-01
7,11,0.20053174067288637,0.19413677137345076,0.3946734815835953,NVIDIA A40,1,8,1,6499038,2020-07-01
7,12,0.20031127613037825,0.1935871634632349,0.39390349108725786,NVIDIA A40,1,8,1,6499038,2020-07-01
7,13,0.20065131038427353,0.19379337038844824,0.39444908034056425,NVIDIA A40,1,8,1,6499038,2020-07-01
7,14,0.20005048532038927,0.19347568042576313,0.3935320656746626,NVIDIA A40,1,8,1,6499038,2020-07-01
7,15,0.20002020709216595,0.19347869511693716,0.39350567664951086,NVIDIA A40,1,8,1,6499038,2020-07-01
7,16,0.20024872571229935,0.1934657311066985,0.39371972624212503,NVIDIA A40,1,8,1,6499038,2020-07-01
7,17,0.20007465220987797,0.19329670630395412,0.39337675645947456,NVIDIA A40,1,8,1,6499038,2020-07-01
7,18,0.19995800033211708,0.19367844983935356,0.39364275336265564,NVIDIA A40,1,8,1,6499038,2020-07-01
7,19,0.20021479204297066,0.18337861075997353,0.383598824031651,NVIDIA A40,1,8,1,6499038,2020-07-01
7,20,0.18961327150464058,0.18545521516352892,0.37507261615246534,NVIDIA A40,1,8,1,6499038,2020-07-01
7,21,0.1909383414313197,0.18618856463581324,0.377130544744432,NVIDIA A40,1,8,1,6499038,2020-07-01
7,22,0.19245670083910227,0.18639803770929575,0.3788593877106905,NVIDIA A40,1,8,1,6499038,2020-07-01
7,23,0.19166529830545187,0.1865300815552473,0.3782010618597269,NVIDIA A40,1,8,1,6499038,2020-07-01
7,24,0.19209834188222885,0.1871522394940257,0.37925495859235525,NVIDIA A40,1,8,1,6499038,2020-07-01
7,25,0.19262670818716288,0.18609169032424688,0.37872228492051363,NVIDIA A40,1,8,1,6499038,2020-07-01
7,26,0.19157245010137558,0.18603465892374516,0.3776115793734789,NVIDIA A40,1,8,1,6499038,2020-07-01
7,27,0.19249947275966406,0.1854944694787264,0.3779977010563016,NVIDIA A40,1,8,1,6499038,2020-07-01
7,28,0.19208959490060806,0.186096859164536,0.3781906124204397,NVIDIA A40,1,8,1,6499038,2020-07-01
7,29,0.19272258318960667,0.1871211500838399,0.37984851095825434,NVIDIA A40,1,8,1,6499038,2020-07-01
